tick,temps_s,x,y,z,vx,vy,vz,vitesse,vitesse_horizontale,vitesse_verticale,pression,masse,poids,portance,poussee,trainee,resultante_y,gaz_total,gaz_capacite,regime_max,stress_su,capacite_su,au_sol,surcharge,f_gravite_x,f_gravite_y,f_gravite_z,f_ballon_x,f_ballon_y,f_ballon_z,f_helice@11.10.10_x,f_helice@11.10.10_y,f_helice@11.10.10_z,f_helice@21.10.10_x,f_helice@21.10.10_y,f_helice@21.10.10_z,f_trainee_x,f_trainee_y,f_trainee_z
0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.01207,1856.75,20424.25,0.0,0.0,0.0,-20424.25,0.0,8926,32.0,0.0,8192.0,0,0,0.0,-20424.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
5,0.25,-0.0,59.6155,-0.0,-0.0,-2.50226,-0.0,2.50226,0.0,-2.50226,1.01363,1856.75,20424.25,910.57,0.0,2037.27,-17476.408,54.47,8926,32.0,0.0,8192.0,0,0,0.0,-20424.25,0.0,0.0,910.574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2037.269,0.0
10,0.5,-0.0,58.6711,-0.0,-0.0,-4.57433,-0.0,4.57433,0.0,-4.57433,1.01746,1856.75,20424.25,1804.71,0.0,4201.66,-14417.887,107.6,8926,32.0,0.0,8192.0,0,0,0.0,-20424.25,0.0,0.0,1804.705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,4201.657,0.0
15,0.75,-0.0,57.2661,-0.0,-1e-05,-6.26996,-0.0,6.26996,1e-05,-6.26996,1.0232,1856.75,20424.25,2688.05,0.0,5999.25,-11736.944,159.42,8926,32.0,0.0,8192.0,0,0,0.0,-20424.25,0.0,0.0,2688.052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,5999.254,0.0
20,1.0,-0.0,55.4876,-0.0,-3e-05,-7.63504,-0.0,7.63504,3e-05,-7.63504,1.0305,1856.75,20424.25,3564.84,0.0,7479.39,-9380.018,209.98,8926,32.0,0.0,8192.0,0,0,0.0,-20424.25,0.0,0.0,3564.845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024,7479.387,0.0
25,1.25,-0.0,53.4123,-0.0,-9e-05,-8.70928,-0.0,8.70928,9e-05,-8.70928,1.03909,1856.75,20424.25,4438.16,0.0,8681.51,-7304.575,259.31,8926,32.0,0.0,8192.0,0,0,0.0,-20424.25,0.0,0.0,4438.162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.074,8681.513,0.0
30,1.5,-0.0001,51.1074,-0.0,-0.00021,-9.52737,-0.0,9.52737,0.00021,-9.52737,1.04871,1856.75,20424.25,5310.14,0.0,9637.83,-5476.281,307.46,8926,32.0,0.0,8192.0,0,0,0.0,-20424.25,0.0,0.0,5310.138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,9637.831,0.0
35,1.75,-0.0001,48.6325,-0.0,-0.00041,-10.11998,-0.0,10.11998,0.00041,-10.11998,1.05913,1856.75,20424.25,6182.13,0.0,10375.18,-3866.941,354.47,8926,32.0,0.0,8192.0,0,0,0.0,-20424.25,0.0,0.0,6182.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,10375.184,0.001
40,2.0,-0.0003,46.0396,-0.0,-0.00074,-10.51439,-0.0,10.51439,0.00074,-10.51439,1.07017,1856.75,20424.25,7054.83,0.0,10916.44,-2452.986,400.37,8926,32.0,0.0,8192.0,0,0,0.0,-20424.25,0.0,0.0,7054.829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.69,10916.436,0.003
45,2.25,-0.0005,43.3747,-0.0,-0.0012,-10.73501,-1e-05,10.73501,0.0012,-10.73501,1.08163,1856.75,20424.25,7928.42,0.0,11281.48,-1214.354,445.2,8926,32.0,0.0,8192.0,0,0,0.0,-20424.25,0.0,0.0,7928.416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.156,11281.48,0.006
